family,sample_index,seed,policy,compilation_successful,ssim,coordinate_error,coordinate_points_compared,emitted_primitives,token_ged,graph_ged,token_overlap,predicted_family,is_line_segment_collapsed,total_length,length_to_eos,has_eos,unk_count,raw_unbalanced_parens,san_unbalanced_parens,tex_error
line_segment,35,42035,beam_search,True,0.7183,0.4501,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,36,42036,greedy,True,0.6509,0.3152,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,36,42036,beam_search,True,0.5507,0.3128,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,37,42037,greedy,True,0.6853,0.2657,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,37,42037,beam_search,True,0.0033,0.2707,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,38,42038,greedy,True,0.9230,0.2622,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,38,42038,beam_search,True,0.9230,0.2622,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,39,42039,greedy,True,0.9048,0.2259,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,39,42039,beam_search,True,0.9083,0.2177,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,40,42040,greedy,True,0.4001,0.7458,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
line_segment,40,42040,beam_search,True,0.3355,0.7455,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,41,42041,greedy,True,0.2495,0.3678,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,41,42041,beam_search,True,0.2435,0.3692,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,42,42042,greedy,True,0.8265,0.2181,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,42,42042,beam_search,True,0.7631,0.4196,2,draw,0.8696,1.0000,0.1250,line_segment,False,25,25,True,0,0,0,
line_segment,43,42043,greedy,True,0.9092,0.6919,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,43,42043,beam_search,True,0.9092,0.6919,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,44,42044,greedy,True,0.4750,0.1886,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,44,42044,beam_search,True,0.4478,0.1948,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,
line_segment,45,42045,greedy,True,0.8103,0.4410,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,45,42045,beam_search,True,0.7535,0.4854,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,46,42046,greedy,False,0.0000,0.4123,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x11906af70>
line_segment,46,42046,beam_search,False,0.0000,0.4105,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x355e4b920>
line_segment,47,42047,greedy,True,0.3797,0.4461,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,47,42047,beam_search,True,0.0844,0.4539,2,draw,0.8696,1.0000,0.1304,line_segment,False,25,25,True,0,0,0,
line_segment,48,42048,greedy,True,0.6128,0.2980,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
