family,sample_index,seed,policy,compilation_successful,ssim,coordinate_error,token_ged,graph_ged,token_overlap,predicted_family,is_line_segment_collapsed,total_length,length_to_eos,has_eos,unk_count,raw_unbalanced_parens,san_unbalanced_parens,tex_error
circle_arc,6,42006,greedy,True,0.6603,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,6,42006,beam_search,True,0.6603,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,6,42006,sampling_gamma0,True,0.7698,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,6,42006,cfg_gamma32,True,0.7241,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,7,42007,greedy,True,0.7483,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,7,42007,beam_search,True,0.7578,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,7,42007,sampling_gamma0,True,0.7347,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,7,42007,cfg_gamma32,True,0.6931,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,8,42008,greedy,True,0.7064,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,8,42008,beam_search,True,0.6895,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,8,42008,sampling_gamma0,True,0.8234,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,8,42008,cfg_gamma32,True,0.8024,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,9,42009,greedy,True,0.6718,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,9,42009,beam_search,True,0.6718,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,9,42009,sampling_gamma0,False,0.0000,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,9,42009,cfg_gamma32,False,0.0000,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,10,42010,greedy,False,0.0000,14.1421,0.9091,1.0000,0.0833,line_segment,True,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x12c06a390>
circle_arc,10,42010,beam_search,True,0.8204,14.1421,0.9091,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,
circle_arc,10,42010,sampling_gamma0,False,0.0000,14.1421,0.9091,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,10,42010,cfg_gamma32,False,0.0000,14.1421,0.9130,1.0000,0.0769,line_segment,True,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,11,42011,greedy,True,0.6661,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,11,42011,beam_search,True,0.4543,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,
circle_arc,11,42011,sampling_gamma0,False,0.0000,14.1421,0.9091,1.0000,0.0769,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,11,42011,cfg_gamma32,False,0.0000,14.1421,0.9130,1.0000,0.0741,line_segment,True,25,25,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,12,42012,greedy,True,0.6653,14.1421,0.9091,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,
circle_arc,12,42012,beam_search,True,0.6653,14.1421,0.9091,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,
circle_arc,12,42012,sampling_gamma0,False,0.0000,14.1421,0.9130,1.0000,0.0769,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,12,42012,cfg_gamma32,False,0.0000,14.1421,0.9130,1.0000,0.0769,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,13,42013,greedy,True,0.6837,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,13,42013,beam_search,True,0.6837,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,13,42013,sampling_gamma0,False,0.0000,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,13,42013,cfg_gamma32,False,0.0000,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,"Ghostscript rasterization failed. Process output: GPL Ghostscript 10.04.0: Unrecoverable error, exit"
circle_arc,14,42014,greedy,True,0.3337,14.1421,0.9091,1.0000,0.0909,line_segment,True,24,24,True,0,0,0,
circle_arc,14,42014,beam_search,True,0.7888,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,14,42014,sampling_gamma0,True,0.8045,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,14,42014,cfg_gamma32,True,0.7901,14.1421,0.9130,1.0000,0.0833,line_segment,True,25,25,True,0,0,0,
circle_arc,15,42015,greedy,False,0.0000,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x12c06a3e0>
circle_arc,15,42015,beam_search,True,0.7644,14.1421,0.9130,1.0000,0.0800,line_segment,True,25,25,True,0,0,0,
circle_arc,15,42015,sampling_gamma0,True,0.8056,14.1421,0.9091,1.0000,0.0833,line_segment,True,24,24,True,0,0,0,
circle_arc,15,42015,cfg_gamma32,True,0.8085,14.1421,0.9130,1.0000,0.0800,line_segment,True,25,25,True,0,0,0,
circle_arc,16,42016,greedy,True,0.7519,14.1421,0.9091,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,
circle_arc,16,42016,beam_search,True,0.7494,14.1421,0.9091,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,
circle_arc,16,42016,sampling_gamma0,True,0.7443,14.1421,0.9091,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,
circle_arc,16,42016,cfg_gamma32,True,0.8404,14.1421,0.9091,1.0000,0.0800,line_segment,True,24,24,True,0,0,0,
circle_arc,17,42017,greedy,True,0.8036,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
circle_arc,17,42017,beam_search,True,0.8086,14.1421,0.9091,1.0000,0.0870,line_segment,True,24,24,True,0,0,0,
